Nome,Livello,Scuola,Classi,Tempo di lancio,Gittata,Componenti,Durata,Descrizione
FORMA ETEREA,7,Evocazione,"bardo, chierico, mago, stregone, warlock",azione,incantatore,"V, S",fino a 8 ore,"L'incantatore mette piede nelle regioni di confine in cui il Piano Etereo si sovrappone al suo piano attuale. Rimane nel Confine Etereo per la durata dell'incantesimo. Durante questo periodo, l'incantatore può muoversi in ogni dire­ zione. Muovendosi su o giù, ogni 30 cm di movimento gli costano 30 cm extra. I.: incantatore può percepire il piano da cui proviene, che appare in scala di grigi ed è visibile solo fino a una distanza di 18 metri. Mentre si trova sul Piano Etereo, l'incantatore può influenzare ed essere influenzato solo dalle creature, gli oggetti e gli effetti che si trovano su quel piano. Le crea­ ture che non sono presenti sul Piano Etereo non possono percepire o interagire con l'incantatore, a meno che un privilegio non dia loro la capacità per farlo. Al termine dell'incantesimo, l'incantatore torna sul piano da cui proviene, sul punto che corrisponde al suo spazio nel Confine Etereo. Se l'incantatore appare in uno spazio occupato, viene sbalzato nello spazio libero più vicino e subisce una quantità di danni da forza pari al doppio del numero di metri di cui si è mosso. Questo incantesimo termina all'istante se l'incantatore Io lancia mentre si trova sul Piano Etereo o su un piano non confinante, come uno dei Piani Esterni. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può bersagliare fino a un massimo di tre creature consenzienti (incluso se stesso) per ogni slot di livello superiore al 7°. AI momento del lancio dell'incan­ tesimo, le creature non devono trovarsi a più di 3 metri dall'incantatore. FORMA GASSOSA"
FORMA GASSOSA,3,Trasmutazione,"mago, stregone, warlock",azione,contatto,"V, S, M (un pezzo di garza)","concentrazione, fino a l ora","Una creatura consenziente, toccata dall'incantatore, muta forma, insieme a tutto ciò che indossa o trasporta, trasfor­ mandosi in una nube fosca per la durata dell'incantesimo. L'effetto svanisce se il bersaglio scende a O punti ferita o se effettua un'azione di Magia per terminare l'incante­ simo su di sé. Mentre si trova in questa forma, una velocità di volo di 3 metri è l'unico metodo di movimento del bersaglio, che può fluttuare e può entrare nello spazio di un'altra creatura e occuparlo. Il bersaglio è resistente ai danni contundenti, perforanti e taglienti; è immune alla con­ dizione prono; dispone di vantaggio ai tiri salvezza su Forza, Destrezza e Costituzione. Il bersaglio può passare attraverso aperture strette, tuttavia tratta i liquidi come fossero superfici solide. Il bersaglio non può parlare o manipolare oggetti e quelli che trasporta o impugna non possono essere lasciati cadere, usati o manipolati in alcun modo. Infine, il bersaglio non può attaccare o lanciare incantesimi. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può bersagliare una creatura aggiuntiva per ogni slot di livello superiore al 3°. FORME ANIMALI"
FORME ANIMALI,8,T?asmutazione,druido,azione,9 metri,"V, S",24 ore,"L'incantatore sceglie un qualsiasi numero di creature con­ senzienti entro gittata che è in grado di vedere. Ogni ber­ saglio muta forma in una bestia Grande o Piccola a scelta, con un grado di sfida pari o inferiore a 4. L'incantatore può scegliere una forma differente per ogni bersaglio e, nei turni successivi, può effettuare un'azione di Magia per trasformare nuovamente i bersagli. L e  statistiche della bestia scelta sostituiscono le statistiche di gioco del bersaglio, il cui tipo di creatura non cambia. Inoltre, il bersaglio conserva i punti ferita, i dadi vita, il proprio allineamento, l'abilità di comunicare e i punteggi di Intelligenza, Saggezza e Carisma. L e  azioni del bersaglio sono limitate dalla forma anatomica della bestia scelta, che non può lanciare incantesimi. L'equipag­ giamento del bersaglio si fonde nella nuova forma e non può essere utilizzato finché non viene assunta di nuovo la forma originale. Il bersaglio ottiene un numero di punti ferita tempo­ ranei pari ai punti ferita della prima forma nella quale muta. Questi punti ferita temporanei svaniscono quando l'incantesimo termina. L a  trasformazione permane per la durata dell'incantesimo o fino a quando il bersaglio non la termina come azione bonus. FRANT UMARE"
FRANT UMARE,2,Invocazione,"bardo, mago, stregone",azione,18 metri,"V, S, M (un frammento di mica)",istantanea,"Un rumore assordante esplode da un punto a scelta dell'incantatore entro gittata. Ogni creatura all'interno di una sfera di 3 metri di raggio centrata su quel punto effet­ tua un tiro salvezza su Costituzione. In caso di fallimento, subisce 3d8 danni da tuono o la metà dei danni in caso di successo. Un costrutto subisce svantaggio al tiro salvezza. Anche un oggetto non magico che non sia indossato o trasportato subisce i danni se si trova entro l'area dell'incantesimo. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ld8 per ogni slot di livello superiore al 2°. FRECCIA ACIDA DI MELF"
FRECCIA ACIDA DI MELF,2,Invocazione,mago,azione,27 metri,"V, S, M (foglia di rabarbaro in polvere)",istantanea,"Una freccia verde scintillante sfreccia verso un bersaglio entro gittata ed esplode in uno spruzzo di acido. L'incanta­ tore effettua un attacco a distanza con incantesimo contro il bersaglio. Se il colpo va a segno, il bersaglio subisce 4d4 danni da acido e 2d4 danni da acido alla fine del suo turno successivo. Se il colpo manca, la freccia schizza acido sul' bersaglio, infliggendo solo la metà dei danni iniziali. Utilizzo di uno slot incantesimo di livello superiore. I danni (sia iniziali che successivi) aumentano di ld4 per ogni slot di livello superiore al 2°. FRECCIA FOLGORANTE"
FRECCIA FOLGORANTE,3,Trasmutazione,ranger,"azione bonus, che l'incantatore effettua subito dopo aver colpito o mancato un bersaglio con un attacco a distanza utilizzando un'arma",incantatore,"V, S",istantanea,"Quando l'attacco dell'incantatore colpisce o manca il bersaglio, l'arma o la munizione che sta utilizzando si tra­ sforma in un fulmine. Invece di subire danni o altri effetti dall'attacco, il bersaglio subisce 4d8 danni da fulmine se il colpo va a segno, o la metà dei danni se il colpo manca. Ogni creatura entro un raggio di 3 metri dal bersaglio effettua un tiro salvezza su Destrezza; se lo fallisce, subisce 2d8 danni da fulmine, mentre se lo supera subisce la metà dei danni. L'arma o la munizione torna poi alla sua forma originaria. Utilizzo di uno slot incantesimo di livello superiore. I danni di entrambi gli effetti dell'incantesimo aumentano di ld8 per ogni slot di livello superiore al 3°. FRUSTA DI SPINE"
FRUSTA DI SPINE,0,Trasmutazione,druido,azione,9 metri,"V, S, M (il gambo di una pianta spinata)",istantanea,"L'incantatore crea una frusta simile a un rampicante e coperta di spine che, al suo comando, sferza fino a una creatura entro gittata, effettuando un attacco in mischia con incantesimo contro il bersaglio. Se il colpo va a segno, quest'ultimo subisce ld6 danni perforanti e, se è di taglia Grande o inferiore, l'incantatore può tirarlo più vicino a sé di 3 metri. Trucchetto potenziato. I danni aumentano di ld6 quando l'incantatore raggiunge il 5° livello (2d6), 1'11° livello (3d6) e il 17° livello (4d6). FULMINE"
FULMINE,3,Invocazione,"mago, stregone",azione,incantatore,"V, S, M (un ciuffo di pelo e una verga di cristallo)",istantanea,"Un fulmine parte dall'incantatore in una direzione a sua scelta, formando una linea lunga 30 metri e larga 1,5 metri. Ogni creatura sulla linea effettua un tiro salvezza su Destrezza; se lo fallisce, subisce 8d6 danni da fulmine, mentre se lo supera subisce la metà dei danni. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ld6 per ogni slot di livello superiore al 3°. FUORVIARE"
FUORVIARE,5,Illusione,"bardo, mago, warlock",azione,incantatore,S,"concentrazione, fino a l ora","L'incantatore diventa invisibile nello stesso momento in cui un suo sosia illusorio appare nel punto in cui si trova. Il sosia permane per la durata dell'incantesimo, ma l'invisibilità termina se non appena l'incantatore effettua un tiro per colpire, infligge danni o lancia un incantesimo. Come azione di Magia, l'incantatore può muovere il sosia illusorio fino al doppio della sua velocità e farlo gesticolare, parlare e comportare nel modo che ritiene più opportuno. Il sosia è intangibile e invulnerabile. Inoltre, l'incantatore può vedere e sentire attraverso il sosia, come se si trovasse nello stesso punto. GABBIA DI FORZA"
GABBIA DI FORZA,7,Invocazione,"bardo, mago, warlock",azione,30 metri,"V, S, M (polvere di rubino del valore di 1.500 mo o più, che l'incantesimo consuma)","concentrazione, fino a l ora","Una prigione cubica di forza magica invisibile e immobile si materializza intorno a un'area entro gittata scelta dall'incantatore. La prigione può essere una gabbia o una struttura solida a sua scelta. Una prigione a forma di gabbia può misurare fino a 6 metri per lato ed essere composta da sbarre di 1,25 cen­ timetri di diametro disposte a 1,25 centimetri di distanza. Una prigione a forma di scatola chiusa può misurare fino a 3 metri per lato e crea una barriera compatta che impe­ disce a ogni tipo di materia di passarle attraverso e blocca qualsiasi incantesimo lanciato verso l'interno o l'esterno dell'area. Al momento del lancio dell'incantesimo, ogni creatura completamente all'interno dell'area della gabbia è intrap­ polata. Le creature situate solo parzialmente all'interno dell'area o quelle di dimensioni troppo grandi per essere contenute al suo interno sono spinte lontano dal centro dell'area finché non ne fuoriescono completamente. Una creatura all'interno della gabbia non può uscirne tramite mezzi non magici. Se la creatura prova a utiliz­ zare il teletrasporto o il viaggio interplanare, deve prima effettuare un tiro salvezza su Carisma. Se lo supera, la creatura può usare quella magia per uscire dalla gabbia, mentre se lo fallisce, non può uscire dalla gabbia e spreca un uso di quell'incantesimo o effetto. La gabbia si estende anche sul Piano Etereo, bloccando i viaggi eterei. Questo incantesimo non può essere dissolto con dissolvi magie. GIARA MAGICA"
GIARA MAGICA,6,Necromanzia,mago,l minuto,incantatore,"V, S, M (una gemma, un cristallo o un reliquiario del valore di 500 mo o più)",finché non viene dissolto,"Il corpo dell'incantatore cade in uno stato catatonico e la sua anima lo abbandona entrando nel contenitore utilizzato come componente materiale dell'incantesimo. Mentre la sua anima si trova all'interno del contenitore, l'incantatore è consapevole di ciò che accade intorno a lui come se si trovasse nello spazio del contenitore. L'incantatore non può muoversi o effettuare reazioni, l'unica azione che può effettuare è proiettare la propria anima fino a 30 metri fuori dal contenitore, tornando nel suo corpo (e così terminando l'incantesimo) o provando a prendere possesso di un corpo di un umanoide. L'incantatore può tentare di possedere un qualsiasi umanoide entro 30 metri da lui che è in grado di vedere (tranne le creature protette da un incantesimo protezione dal bene e dal male o cerchio magico). li bersaglio effettua un tiro salvezza su Carisma. In caso di fallimento, l'anima dell'incantatore entra nel corpo del bersaglio, la cui anima viene intrappolata nel contenitore. In caso di successo, il bersaglio resiste agli sforzi dell'incantatore di possederlo e quest'ultimo non può riprovare per le 24 ore successive. Quando l'incantatore prende possesso del corpo di una creatura, ne ha il pieno controllo. I suoi punti ferita, Dadi Vita, Forza, Destrezza, Costituzione, Velocità e sensi vengono sostituiti da quelli della creatura. Altrimenti, l'incantatore conserva le proprie statistiche di gioco. Nel frattempo, l'anima della creatura posseduta può per­ cepire ciò che accade intorno al contenitore utilizzando i propri sensi, ma non può muoversi ed è incapacitata. Mentre è in possesso di un corpo, l'incantatore può effet­ tuare la sua azione di Magia per tornare nel contenitore se si trova entro 30 metri da lui, riportando l'anima della creatura ospite nel suo corpo. Se il corpo ospite muore mentre l'incantatore si trova al suo interno, anche la creatura muore e l'incantatore effettua un tiro salvezza su Carisma contro la CD del suo stesso incantesimo. In caso di successo, l'incantatore torna nel contenitore, che deve tuttavia trovarsi entro 30 metri da lui; altrimenti muore. Se il contenitore viene distrutto o l'incantesimo termina, l'anima dell'incantatore torna nel suo corpo. Tuttavia, se il suo corpo si trova a più di 30 metri da lui o se è morto, anche l'incantatore muore. Se l'anima di un'altra creatura si trova all'interno del contenitore quando viene distrutto, questa ritorna nel suo corpo, a patto che sia vivo e si trovi entro 30 metri; altrimenti, la creatura muore. Al termine dell'incantesimo, il contenitore viene distrutto. ....- - ---------..-- GLIFO DI INTERDIZIONE"
GLIFO DI INTERDIZIONE,3,Abiurazione,"bardo, chierico, mago",l ora,contatto,"V, S, M (polvere di diamante del valore di 200 mo o più, che l'incantesimo consuma)",finché non viene dissolto o innescato,"L'incantatore traccia un glifo da cui, in seguito, si sprigio­ nerà un effetto magico. li glifo può essere tracciato su una superficie (come un tavolo o una sezione di pavimento) o, al fine di nasconderlo, all'interno di un oggetto che può essere chiuso (come un libro o un forziere). Il glifo può coprire un'area massima del diametro di 3 metri. Se la superficie o l'oggetto viene spostato per più di 3 metri dal punto in cui l'incantatore ha lanciato questo incantesimo, il glifo si infrange e l'incantesimo termina senza essere innescato. li glifo è quasi impercettibile e, per notarlo, è necessario superare una prova di Saggezza (Percezione) contro la CD del tiro salvezza sull'incantesimo. Quando l'incantatore traccia il glifo, ne programma l'innesco e sceglie se si tratta di una runa esplosiva o di un glifo magico, come illustrato di seguito. Programmare l'innesco. Quando questo incantesimo viene lanciato, l'incantatore decide cosa innesca il glifo. Nel caso di glifi tracciati su una superficie, gli inneschi più comuni includono: toccare o camminare su di essi, rimuovere un altro oggetto che li copre o avvicinarsi a una certa distanza da loro. Nel caso di glifi tracciati all'interno di un oggetto, gli inneschi più comuni inclu­ dono aprire quell'oggetto o vedere il glifo. Una volta che un glifo viene innescato, l'incantesimo termina. L'incantatore può perfezionare l'innesco in modo che venga attivato solo da un certo tipo di creature (ad esem­ pio, il glifo potrebbe essere programmato per influenzare le aberrazioni). L'incantatore può inoltre impostare delle condizioni per evitare di innescare il glifo, come pronun­ ciare una specifica parola d'ordine. Runa esplosiva. Quando attivato, il glifo esplode in una sfera di energia magica con raggio di 6 metri centrata su di esso. Ogni creatura presente nell'area effettua un tiro salvezza su Destrezza. In caso di fallimento, subisce Sd8 danni da acido, freddo, fulmine, fuoco o tuono (a scelta dell'incantatore al momento della creazione del glifo), o la metà dei danni in caso di successo. Glifo magico. L'incantatore può custodire un incante­ simo preparato di 3° livello o inferiore all'interno del glifo lanciandolo come parte del suo processo di creazione. L'incantesimo deve avere come bersaglio una sola creatura o un'area. In questo modo, l'incantesimo custodito non ha effetto immediato, ma ha effetto quando il glifo si attiva. Se l'incantesimo ha un bersaglio, risulterà essere la cre­ atura che ha attivato il glifo, mentre se influenza un'area, tale area sarà centrata su quella creatura. Se l'incantesimo evoca creature ostili oppure crea oggetti o trappole dan­ nose, ciò che viene evocato o creato appare nel punto più vicino possibile all'intruso e lo attacca. Se l'incantesimo richiede concentrazione, permane per tutta la sua durata. Utilizzo di uno slot incantesimo di livello superiore. I danni di una runa esplosiva aumentano di ld8 per ogni slot di livello superiore al 3°. Se l'incantatore crea un glifo magico, può custodirvi qualsiasi incantesimo di livello pari o inferiore a quello dello slot incantesimo usato per il glifo di interdizione. GLOBO CROMATICO"
